KF_Category,KF_Dimension,Scale_Type,Scale_Range,Behavioural_Descriptors,Assessment_Method,Higher_Is_Better,Weight_in_Scoring
Stakeholder Engagement,Builds Trust,ordinal_4,1=Limited | 2=Developing | 3=Proficient | 4=Exceptional,[1] Trust is frequently broken; integrity questions arise. | [2] Maintains basic trust within immediate team. | [3] Consistently builds trust across functions; known for reliability and candour. | [4] Trusted at enterprise level; integrity and authenticity set the organisational standard.,Stakeholder Survey + Presentation Exercise,Yes,Equal
Stakeholder Engagement,Customer Focus,ordinal_4,1=Limited | 2=Developing | 3=Proficient | 4=Exceptional,[1] Limited awareness of customer needs; inward focus. | [2] Responds to customer needs when escalated. | [3] Proactively anticipates customer needs; builds strong client relationships. | [4] Obsessive customer focus; designs strategies and operations around customer outcomes.,Stakeholder Survey + Presentation Exercise,Yes,Equal
Stakeholder Engagement,Influences Others,ordinal_4,1=Limited | 2=Developing | 3=Proficient | 4=Exceptional,[1] Limited ability to influence without authority; avoids conflict. | [2] Influences within direct team; basic negotiation capability. | [3] Builds coalitions; negotiates mutually beneficial outcomes across functions. | [4] Master influencer and negotiator; drives enterprise-level alignment.,Stakeholder Survey + Presentation Exercise,Yes,Equal
Positivity,Optimism,scale_100,1–100 (Individual & Success Profile). Midpoint=50. Low <35 | Developing 35–49 | Effective 50–64 | Strong 65–79 | Exceptional 80–100.,1–100 (Individual & Success Profile). Midpoint=50. Low <35 | Developing 35–49 | Effective 50–64 | Strong 65–79 | Exceptional 80–100.,KF4D Psychometric Assessment (Individual & Success Profile),Yes,Equal
Positivity,Situational Self-Awareness,scale_100,1–100 (Individual & Success Profile). Midpoint=50. Low <35 | Developing 35–49 | Effective 50–64 | Strong 65–79 | Exceptional 80–100.,1–100 (Individual & Success Profile). Midpoint=50. Low <35 | Developing 35–49 | Effective 50–64 | Strong 65–79 | Exceptional 80–100.,KF4D Psychometric Assessment (Individual & Success Profile),Yes,Equal
Positivity,Composure,scale_100,1–100 (Individual & Success Profile). Midpoint=50. Low <35 | Developing 35–49 | Effective 50–64 | Strong 65–79 | Exceptional 80–100.,1–100 (Individual & Success Profile). Midpoint=50. Low <35 | Developing 35–49 | Effective 50–64 | Strong 65–79 | Exceptional 80–100.,KF4D Psychometric Assessment (Individual & Success Profile),Yes,Equal
Striving,Credibility,scale_100,1–100 (Individual & Success Profile). Midpoint=50. Low <35 | Developing 35–49 | Effective 50–64 | Strong 65–79 | Exceptional 80–100.,1–100 (Individual & Success Profile). Midpoint=50. Low <35 | Developing 35–49 | Effective 50–64 | Strong 65–79 | Exceptional 80–100.,KF4D Psychometric Assessment (Individual & Success Profile),Yes,Equal
Striving,Confidence,scale_100,1–100 (Individual & Success Profile). Midpoint=50. Low <35 | Developing 35–49 | Effective 50–64 | Strong 65–79 | Exceptional 80–100.,1–100 (Individual & Success Profile). Midpoint=50. Low <35 | Developing 35–49 | Effective 50–64 | Strong 65–79 | Exceptional 80–100.,KF4D Psychometric Assessment (Individual & Success Profile),Yes,Equal
Striving,Need for Achievement,scale_100,1–100 (Individual & Success Profile). Midpoint=50. Low <35 | Developing 35–49 | Effective 50–64 | Strong 65–79 | Exceptional 80–100.,1–100 (Individual & Success Profile). Midpoint=50. Low <35 | Developing 35–49 | Effective 50–64 | Strong 65–79 | Exceptional 80–100.,KF4D Psychometric Assessment (Individual & Success Profile),Yes,Equal
Striving,Persistence,scale_100,1–100 (Individual & Success Profile). Midpoint=50. Low <35 | Developing 35–49 | Effective 50–64 | Strong 65–79 | Exceptional 80–100.,1–100 (Individual & Success Profile). Midpoint=50. Low <35 | Developing 35–49 | Effective 50–64 | Strong 65–79 | Exceptional 80–100.,KF4D Psychometric Assessment (Individual & Success Profile),Yes,Equal
Agreeableness,Affiliation,scale_100,1–100 (Individual & Success Profile). Midpoint=50. Low <35 | Developing 35–49 | Effective 50–64 | Strong 65–79 | Exceptional 80–100.,1–100 (Individual & Success Profile). Midpoint=50. Low <35 | Developing 35–49 | Effective 50–64 | Strong 65–79 | Exceptional 80–100.,KF4D Psychometric Assessment (Individual & Success Profile),Yes,Equal
Agreeableness,Humility,scale_100,1–100 (Individual & Success Profile). Midpoint=50. Low <35 | Developing 35–49 | Effective 50–64 | Strong 65–79 | Exceptional 80–100.,1–100 (Individual & Success Profile). Midpoint=50. Low <35 | Developing 35–49 | Effective 50–64 | Strong 65–79 | Exceptional 80–100.,KF4D Psychometric Assessment (Individual & Success Profile),Yes,Equal
Agreeableness,Trust,scale_100,1–100 (Individual & Success Profile). Midpoint=50. Low <35 | Developing 35–49 | Effective 50–64 | Strong 65–79 | Exceptional 80–100.,1–100 (Individual & Success Profile). Midpoint=50. Low <35 | Developing 35–49 | Effective 50–64 | Strong 65–79 | Exceptional 80–100.,KF4D Psychometric Assessment (Individual & Success Profile),Yes,Equal
Agreeableness,Openness to Differences,scale_100,1–100 (Individual & Success Profile). Midpoint=50. Low <35 | Developing 35–49 | Effective 50–64 | Strong 65–79 | Exceptional 80–100.,1–100 (Individual & Success Profile). Midpoint=50. Low <35 | Developing 35–49 | Effective 50–64 | Strong 65–79 | Exceptional 80–100.,KF4D Psychometric Assessment (Individual & Success Profile),Yes,Equal
Agility,Focus,scale_100,1–100 (Individual & Success Profile). Midpoint=50. Low <35 | Developing 35–49 | Effective 50–64 | Strong 65–79 | Exceptional 80–100.,1–100 (Individual & Success Profile). Midpoint=50. Low <35 | Developing 35–49 | Effective 50–64 | Strong 65–79 | Exceptional 80–100.,KF4D Psychometric Assessment (Individual & Success Profile),Yes,Equal
Agility,Curiosity,scale_100,1–100 (Individual & Success Profile). Midpoint=50. Low <35 | Developing 35–49 | Effective 50–64 | Strong 65–79 | Exceptional 80–100.,1–100 (Individual & Success Profile). Midpoint=50. Low <35 | Developing 35–49 | Effective 50–64 | Strong 65–79 | Exceptional 80–100.,KF4D Psychometric Assessment (Individual & Success Profile),Yes,Equal
Agility,Adaptability,scale_100,1–100 (Individual & Success Profile). Midpoint=50. Low <35 | Developing 35–49 | Effective 50–64 | Strong 65–79 | Exceptional 80–100.,1–100 (Individual & Success Profile). Midpoint=50. Low <35 | Developing 35–49 | Effective 50–64 | Strong 65–79 | Exceptional 80–100.,KF4D Psychometric Assessment (Individual & Success Profile),Yes,Equal
Agility,Risk Taking,scale_100,1–100 (Individual & Success Profile). Midpoint=50. Low <35 | Developing 35–49 | Effective 50–64 | Strong 65–79 | Exceptional 80–100.,1–100 (Individual & Success Profile). Midpoint=50. Low <35 | Developing 35–49 | Effective 50–64 | Strong 65–79 | Exceptional 80–100.,KF4D Psychometric Assessment (Individual & Success Profile),Yes,Equal
Agility,Tolerance of Ambiguity,scale_100,1–100 (Individual & Success Profile). Midpoint=50. Low <35 | Developing 35–49 | Effective 50–64 | Strong 65–79 | Exceptional 80–100.,1–100 (Individual & Success Profile). Midpoint=50. Low <35 | Developing 35–49 | Effective 50–64 | Strong 65–79 | Exceptional 80–100.,KF4D Psychometric Assessment (Individual & Success Profile),Yes,Equal
Presence,Empathy,scale_100,1–100 (Individual & Success Profile). Midpoint=50. Low <35 | Developing 35–49 | Effective 50–64 | Strong 65–79 | Exceptional 80–100.,1–100 (Individual & Success Profile). Midpoint=50. Low <35 | Developing 35–49 | Effective 50–64 | Strong 65–79 | Exceptional 80–100.,KF4D Psychometric Assessment (Individual & Success Profile),Yes,Equal
Presence,Assertiveness,scale_100,1–100 (Individual & Success Profile). Midpoint=50. Low <35 | Developing 35–49 | Effective 50–64 | Strong 65–79 | Exceptional 80–100.,1–100 (Individual & Success Profile). Midpoint=50. Low <35 | Developing 35–49 | Effective 50–64 | Strong 65–79 | Exceptional 80–100.,KF4D Psychometric Assessment (Individual & Success Profile),Yes,Equal
Presence,Sociability,scale_100,1–100 (Individual & Success Profile). Midpoint=50. Low <35 | Developing 35–49 | Effective 50–64 | Strong 65–79 | Exceptional 80–100.,1–100 (Individual & Success Profile). Midpoint=50. Low <35 | Developing 35–49 | Effective 50–64 | Strong 65–79 | Exceptional 80–100.,KF4D Psychometric Assessment (Individual & Success Profile),Yes,Equal
Presence,Influence,scale_100,1–100 (Individual & Success Profile). Midpoint=50. Low <35 | Developing 35–49 | Effective 50–64 | Strong 65–79 | Exceptional 80–100.,1–100 (Individual & Success Profile). Midpoint=50. Low <35 | Developing 35–49 | Effective 50–64 | Strong 65–79 | Exceptional 80–100.,KF4D Psychometric Assessment (Individual & Success Profile),Yes,Equal
Learning Agility,Mental Agility,scale_10,1–10 decimal (Learning Agility). Low <4 | Developing 4–5.9 | Proficient 6–7.9 | Distinguished 8–10.,1–10 decimal (Learning Agility). Low <4 | Developing 4–5.9 | Proficient 6–7.9 | Distinguished 8–10.,VOICES 360 (Deci 1–10 scale),Yes,Equal
Learning Agility,People Agility,scale_10,1–10 decimal (Learning Agility). Low <4 | Developing 4–5.9 | Proficient 6–7.9 | Distinguished 8–10.,1–10 decimal (Learning Agility). Low <4 | Developing 4–5.9 | Proficient 6–7.9 | Distinguished 8–10.,VOICES 360 (Deci 1–10 scale),Yes,Equal
Learning Agility,Change Agility,scale_10,1–10 decimal (Learning Agility). Low <4 | Developing 4–5.9 | Proficient 6–7.9 | Distinguished 8–10.,1–10 decimal (Learning Agility). Low <4 | Developing 4–5.9 | Proficient 6–7.9 | Distinguished 8–10.,VOICES 360 (Deci 1–10 scale),Yes,Equal
Learning Agility,Results Agility,scale_10,1–10 decimal (Learning Agility). Low <4 | Developing 4–5.9 | Proficient 6–7.9 | Distinguished 8–10.,1–10 decimal (Learning Agility). Low <4 | Developing 4–5.9 | Proficient 6–7.9 | Distinguished 8–10.,VOICES 360 (Deci 1–10 scale),Yes,Equal
Learning Agility,Situational Self-Awareness,scale_10,1–10 decimal (Learning Agility). Low <4 | Developing 4–5.9 | Proficient 6–7.9 | Distinguished 8–10.,1–10 decimal (Learning Agility). Low <4 | Developing 4–5.9 | Proficient 6–7.9 | Distinguished 8–10.,VOICES 360 (Deci 1–10 scale),Yes,Equal
Drivers,Balance,drivers_60,1–60 (Drivers / Motivations — Individual & Success Profile). Less motivated <20 | Average 20–40 | More motivated >40.,1–60 (Drivers / Motivations — Individual & Success Profile). Less motivated <20 | Average 20–40 | More motivated >40.,"KF Motivations & Preferences Assessment (Individual & Success Profile, 1–60)",Yes,Equal
Drivers,Collaboration,drivers_60,1–60 (Drivers / Motivations — Individual & Success Profile). Less motivated <20 | Average 20–40 | More motivated >40.,1–60 (Drivers / Motivations — Individual & Success Profile). Less motivated <20 | Average 20–40 | More motivated >40.,"KF Motivations & Preferences Assessment (Individual & Success Profile, 1–60)",Yes,Equal
Drivers,Power,drivers_60,1–60 (Drivers / Motivations — Individual & Success Profile). Less motivated <20 | Average 20–40 | More motivated >40.,1–60 (Drivers / Motivations — Individual & Success Profile). Less motivated <20 | Average 20–40 | More motivated >40.,"KF Motivations & Preferences Assessment (Individual & Success Profile, 1–60)",Yes,Equal
Drivers,Challenge,drivers_60,1–60 (Drivers / Motivations — Individual & Success Profile). Less motivated <20 | Average 20–40 | More motivated >40.,1–60 (Drivers / Motivations — Individual & Success Profile). Less motivated <20 | Average 20–40 | More motivated >40.,"KF Motivations & Preferences Assessment (Individual & Success Profile, 1–60)",Yes,Equal
Drivers,Structure,drivers_60,1–60 (Drivers / Motivations — Individual & Success Profile). Less motivated <20 | Average 20–40 | More motivated >40.,1–60 (Drivers / Motivations — Individual & Success Profile). Less motivated <20 | Average 20–40 | More motivated >40.,"KF Motivations & Preferences Assessment (Individual & Success Profile, 1–60)",Yes,Equal
Drivers,Independence,drivers_60,1–60 (Drivers / Motivations — Individual & Success Profile). Less motivated <20 | Average 20–40 | More motivated >40.,1–60 (Drivers / Motivations — Individual & Success Profile). Less motivated <20 | Average 20–40 | More motivated >40.,"KF Motivations & Preferences Assessment (Individual & Success Profile, 1–60)",Yes,Equal
Risk Factor,Avoidant,risk_10,1–10 decimal INVERSE — lower is better (Risk Factor). Low risk 1–3 | Monitor 4–6 | Elevated 7–8 | Critical concern 9–10.,1–10 decimal INVERSE — lower is better (Risk Factor). Low risk 1–3 | Monitor 4–6 | Elevated 7–8 | Critical concern 9–10.,"KF Personality Risk Assessment + Clinical Interview (Deci 1–10, inverse)",No (Inverse),Adjusted (risk penalty)
Risk Factor,Closed,risk_10,1–10 decimal INVERSE — lower is better (Risk Factor). Low risk 1–3 | Monitor 4–6 | Elevated 7–8 | Critical concern 9–10.,1–10 decimal INVERSE — lower is better (Risk Factor). Low risk 1–3 | Monitor 4–6 | Elevated 7–8 | Critical concern 9–10.,"KF Personality Risk Assessment + Clinical Interview (Deci 1–10, inverse)",No (Inverse),Adjusted (risk penalty)
Risk Factor,Defensive,risk_10,1–10 decimal INVERSE — lower is better (Risk Factor). Low risk 1–3 | Monitor 4–6 | Elevated 7–8 | Critical concern 9–10.,1–10 decimal INVERSE — lower is better (Risk Factor). Low risk 1–3 | Monitor 4–6 | Elevated 7–8 | Critical concern 9–10.,"KF Personality Risk Assessment + Clinical Interview (Deci 1–10, inverse)",No (Inverse),Adjusted (risk penalty)
Risk Factor,Egotistic,risk_10,1–10 decimal INVERSE — lower is better (Risk Factor). Low risk 1–3 | Monitor 4–6 | Elevated 7–8 | Critical concern 9–10.,1–10 decimal INVERSE — lower is better (Risk Factor). Low risk 1–3 | Monitor 4–6 | Elevated 7–8 | Critical concern 9–10.,"KF Personality Risk Assessment + Clinical Interview (Deci 1–10, inverse)",No (Inverse),Adjusted (risk penalty)
Risk Factor,Micro Managing,risk_10,1–10 decimal INVERSE — lower is better (Risk Factor). Low risk 1–3 | Monitor 4–6 | Elevated 7–8 | Critical concern 9–10.,1–10 decimal INVERSE — lower is better (Risk Factor). Low risk 1–3 | Monitor 4–6 | Elevated 7–8 | Critical concern 9–10.,"KF Personality Risk Assessment + Clinical Interview (Deci 1–10, inverse)",No (Inverse),Adjusted (risk penalty)
Risk Factor,Opportunistic,risk_10,1–10 decimal INVERSE — lower is better (Risk Factor). Low risk 1–3 | Monitor 4–6 | Elevated 7–8 | Critical concern 9–10.,1–10 decimal INVERSE — lower is better (Risk Factor). Low risk 1–3 | Monitor 4–6 | Elevated 7–8 | Critical concern 9–10.,"KF Personality Risk Assessment + Clinical Interview (Deci 1–10, inverse)",No (Inverse),Adjusted (risk penalty)
Risk Factor,Restrained,risk_10,1–10 decimal INVERSE — lower is better (Risk Factor). Low risk 1–3 | Monitor 4–6 | Elevated 7–8 | Critical concern 9–10.,1–10 decimal INVERSE — lower is better (Risk Factor). Low risk 1–3 | Monitor 4–6 | Elevated 7–8 | Critical concern 9–10.,"KF Personality Risk Assessment + Clinical Interview (Deci 1–10, inverse)",No (Inverse),Adjusted (risk penalty)
Risk Factor,Social Pleaser,risk_10,1–10 decimal INVERSE — lower is better (Risk Factor). Low risk 1–3 | Monitor 4–6 | Elevated 7–8 | Critical concern 9–10.,1–10 decimal INVERSE — lower is better (Risk Factor). Low risk 1–3 | Monitor 4–6 | Elevated 7–8 | Critical concern 9–10.,"KF Personality Risk Assessment + Clinical Interview (Deci 1–10, inverse)",No (Inverse),Adjusted (risk penalty)
Risk Factor,Solitary,risk_10,1–10 decimal INVERSE — lower is better (Risk Factor). Low risk 1–3 | Monitor 4–6 | Elevated 7–8 | Critical concern 9–10.,1–10 decimal INVERSE — lower is better (Risk Factor). Low risk 1–3 | Monitor 4–6 | Elevated 7–8 | Critical concern 9–10.,"KF Personality Risk Assessment + Clinical Interview (Deci 1–10, inverse)",No (Inverse),Adjusted (risk penalty)
Risk Factor,Suspicious,risk_10,1–10 decimal INVERSE — lower is better (Risk Factor). Low risk 1–3 | Monitor 4–6 | Elevated 7–8 | Critical concern 9–10.,1–10 decimal INVERSE — lower is better (Risk Factor). Low risk 1–3 | Monitor 4–6 | Elevated 7–8 | Critical concern 9–10.,"KF Personality Risk Assessment + Clinical Interview (Deci 1–10, inverse)",No (Inverse),Adjusted (risk penalty)
Risk Factor,Volatile,risk_10,1–10 decimal INVERSE — lower is better (Risk Factor). Low risk 1–3 | Monitor 4–6 | Elevated 7–8 | Critical concern 9–10.,1–10 decimal INVERSE — lower is better (Risk Factor). Low risk 1–3 | Monitor 4–6 | Elevated 7–8 | Critical concern 9–10.,"KF Personality Risk Assessment + Clinical Interview (Deci 1–10, inverse)",No (Inverse),Adjusted (risk penalty)
